,open,high,low,close,volume,rsi_score,bollinger_bands_score,obv_score,combined_score,decision
2024-01-01 00:00:00,100.11968628803605,100.11723512647987,99.85880821076306,100.0496837535914,6682,50.0,50.0,50,50.0,Hold
2024-01-01 00:01:00,100.0820996691229,100.0503084585362,99.94978206317255,100.0358514102665,9084,50.0,50.0,50,50.0,Hold
2024-01-01 00:02:00,100.10364899152265,100.1799862323295,100.05926228297213,100.1006644716968,6367,50.0,50.0,50,50.0,Hold
2024-01-01 00:03:00,100.22080817601818,100.28411106924082,100.06399013108553,100.25323692904489,1069,50.0,50.0,50,50.0,Hold
2024-01-01 00:04:00,100.26475642274453,100.41956159656038,100.17398185450267,100.22976504340886,4924,50.0,50.0,50,50.0,Hold
2024-01-01 00:05:00,100.22601515566237,100.22767367160782,100.07247663115898,100.20630029831507,7200,50.0,50.0,50,50.0,Hold
2024-01-01 00:06:00,100.40959527777302,100.36479337778562,100.31589151768844,100.36467239064581,3007,50.0,50.0,50,50.0,Hold
2024-01-01 00:07:00,100.47362416437944,100.5237950803898,100.2863114063768,100.44172528857165,9992,50.0,50.0,50,50.0,Hold
2024-01-01 00:08:00,100.44726624135554,100.46076623154035,100.28588522323648,100.39458153852698,9119,50.0,50.0,50,50.0,Hold
2024-01-01 00:09:00,100.42218446772735,100.54324445139699,100.40174237494575,100.44906640638189,3779,50.0,50.0,50,50.0,Hold
2024-01-01 00:10:00,100.46866216296496,100.56393038932912,100.39312600613682,100.40252731613448,5920,50.0,50.0,50,50.0,Hold
2024-01-01 00:11:00,100.36569289001149,100.43232159737367,100.22272640529022,100.3557777590046,1755,50.0,50.0,50,50.0,Hold
2024-01-01 00:12:00,100.48422041747156,100.457269566429,100.25085744877731,100.38006300889455,7495,50.0,50.0,50,50.0,Hold
2024-01-01 00:13:00,100.15366718744157,100.2823586197835,100.04821668378827,100.18819142796586,6935,50.0,50.0,50,50.0,Hold
2024-01-01 00:14:00,100.10233565604865,100.09848435230029,99.95715499892137,100.01552399134685,3330,52.33476086891769,50.0,50,50.93390434756708,Hold
2024-01-01 00:15:00,99.96919382924837,99.97867704293297,99.85550669184143,99.95930231733038,6705,56.13452224562519,50.0,50,52.453808898250074,Hold
2024-01-01 00:16:00,99.82558699246384,99.88452563090512,99.70639264825793,99.85811167834095,9301,62.47211866128748,50.0,50,54.98884746451499,Hold
2024-01-01 00:17:00,99.86532919842865,100.08966155780003,99.6065941572277,99.88949675465385,2016,59.863494806685395,50.0,50,53.94539792267416,Hold
2024-01-01 00:18:00,99.78285070986497,99.86224983377394,99.75381072522389,99.79883585407836,8347,65.39340003826214,50.0,50,56.15736001530486,Hold
2024-01-01 00:19:00,99.6791248340655,99.78149107101102,99.60300369283222,99.65798907144001,9216,72.80681963744217,100.0,50,76.62272785497687,Buy
2024-01-01 00:20:00,99.83025035001424,99.81014129752978,99.6843686562843,99.80415977172314,5938,60.87059980697992,84.68724253886415,50,66.48877481139442,Hold
